"","layer_OBJECTID","ldensity"
"Low Monte",393,1.09568234879112
"Lower Gangetic Plains moist deciduous forests",394,0.410981666061132
"Luang Prabang montane rain forests",395,1.80749880337425
"Luzon montane rain forests",396,2.26140966442979
"Luzon rain forests",397,2.39113431203096
"Luzon tropical pine forests",398,2.28653128089192
"Madagascar dry deciduous forests",399,0.737763299506385
"Madagascar ericoid thickets",400,0.807990787394825
"Madagascar humid forests",401,0.574586924573433
"Madagascar mangroves",402,0.869316235697021
"Madagascar spiny thickets",403,1.11626906669234
"Madagascar subhumid forests",404,0.780380185333451
"Madagascar succulent woodlands",405,0.912152900816372
"Madeira-Tapajós moist forests",406,3.81709435850547
"Madeira evergreen forests",407,0.848243433889278
"Magdalena-Urabá moist forests",408,2.49328197555643
"Magdalena Valley dry forests",409,2.72920116784395
"Magdalena Valley montane forests",410,2.94597801801554
"Magellanic subpolar forests",411,2.09794223444819
"Makgadikgadi halophytics",412,2.08030866232004
"Malabar Coast moist forests",413,0.0345087559560982
"Maldives-Lakshadweep-Chagos Archipelago tropical moist forests",414,2.35908046281148
"Manchurian mixed forests",416,1.86087431583767
"Mandara Plateau woodlands",417,1.12126507008311
"Maputaland coastal forests and woodlands",418,2.7865528793009
"Maracaibo dry forests",419,3.11466814578366
"Marajó várzea",420,3.41851212938586
"Maranhão Babaçu forests",421,3.0755249305572
"Marañón dry forests",422,2.65412679291173
"Marianas tropical dry forests",423,3.33062842708322
"Masai xeric grasslands and shrublands",425,2.18150601054913
"Mascarene forests",426,0.842076652014313
"Mato Grosso tropical dry forests",427,3.75180865789535
"Mediterranean Acacia-Argania dry woodlands and succulent thickets",428,1.34626367129825
"Mediterranean conifer and mixed forests",429,2.08138303785775
"Mediterranean dry woodlands and steppe",430,1.18462788328511
"Mediterranean High Atlas juniper steppe",431,1.74038286798916
"Mediterranean woodlands and forests",432,1.7451607114598
"Meghalaya subtropical forests",433,0.62022574392002
"Mentawai Islands rain forests",434,2.23420703951312
"Meseta Central matorral",435,1.80259606933864
"Mesoamerican Gulf-Caribbean mangroves",436,2.69522669730485
"Mesopotamian shrub desert",437,0.773517495760907
"Mid-Canada Boreal Plains forests",438,1.75737488915731
"Canadian Middle Arctic Tundra",439,-0.741850345105883
"Mid-Atlantic US coastal savannas",440,3.63857492504378
"Midwest Canadian Shield forests",441,1.27424183669018
"Mindanao-Eastern Visayas rain forests",442,3.32640425529744
"Mindanao montane rain forests",443,3.46054861504021
"Mindoro rain forests",444,2.68259570371823
